Student ID,Date,Student Roll,Challan No,Amount
1962,31/5/2022,Fall2100290,1034849,3500
1961,31/5/2022,Fall2100289,1034848,4700
1960,31/5/2022,Fall2100288,1034847,4500
1949,31/5/2022,Fall2100277,1034846,4500
1234,31/5/2022,OTT01192016,1034845,100
1442,31/5/2022,BSM01182002,1034844,100
1445,31/5/2022,BSM01182005,1034843,100
1447,31/5/2022,BSM01182009,1034842,100
1448,31/5/2022,BSM01182010,1034841,100
1452,31/5/2022,BSM01182014,1034840,100
1382,31/5/2022,MLT01192044,1034839,100
1368,31/5/2022,MLT01192027,1034838,100
419,31/5/2022,BSIT01182016,1034837,100
411,31/5/2022,BSIT01182003,1034836,100
