accession_number,ddc_number,book,subject_code,author,book_category,book_publisher,book_pages,book_year,book_binding,book_source,price,book_volume,quantity,classesID,book_remarks,rack
101,613.2 WHI,Understanding Nutrition Set ,HND-01-RK-2-001,Whitney Rolfes,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,14th,1,0,0,0
102,613.2 WHI,Understanding Nutrition Set ,HND-01-RK-2-002,Whitney Rolfes,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,14th,1,0,0,0
103,613.2 WHI,Understanding Nutrition Set ,HND-01-RK-2-003,Whitney Rolfes,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,14th,1,0,0,0
104,613.2 HOS,Hospital Dietectics,HND-02-RK-2-001,AIOU Isd,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
105,336.8 RED,Basic Food Science and Technology ,HND-03-RK-2-001,Reddy,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
106,336.8 RED,Basic Food Science and Technology ,HND-03-RK-2-002,Reddy,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
107,336.8 RED,Basic Food Science and Technology ,HND-03-RK-2-003,Reddy,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
108,547 BAH,A Text book of Organic Chemistry,HND-04-RK-2-001,Arun Bahl,BS-Human Nutrition & Dietetics,0,0,1948,PB,Purchase,0,1st,1,0,0,0
109,547 BAH,A Text book of Organic Chemistry ,HND-04-RK-2-002,Arun Bahl,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
110,547 BAH,A Text book of Organic Chemistry ,HND-04-RK-2-003,Arun Bahl,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
111,664 POT,Food Science ,HND-05-RK-2-001,Potter                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
112,664 POT,Food Science ,HND-05-RK-2-002,Potter                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
