Student ID,Date,Student Roll,Challan No,Amount
1030400080,28-11-22,BSCS01192008,22100195,9150
1030200132,28-11-22,BSCS01202015,221100604,9375
1050400043,28-11-22,BSENG01192032,221100278,5500
1050400029,28-11-22,BSENG01192014,22100284,5312
1210100045,28-11-22,Fall2100045,221101015,14335
1210100190,28-11-22,Fall2100190,221101035,13752
1080200127,28-11-22,MLT01202030,221100762,10750
1210100242,28-11-22,Fall2100242,221100976,14752
1210100102,28-11-22,Fall2100102,221101067,8335
1040600178,28-11-22,DPT01182063,22100069,11850
1100400069,28-11-22,OTT01192025,221100462,6875
1100400069,28-11-22,OTT01192025,22100482,6875
1060400085,28-11-22,HND01192005,22100316,13125
1020200094,29-11-22,BIO01202009,221100587,8437
1110200089,29-11-22,PSY01202017,221200810,6750
1110200089,29-11-22,PSY01202017,230200264,6750
1110200089,29-11-22,PSY01202017,221100822,6750
1110200089,29-11-22,PSY01202017,230100810,6750
1120200167,29-11-22,RIT01202026,221100921,11625
1040600141,29-11-22,DPT01182015,221100013,10500
1040600141,29-11-22,DPT01182015,221200013,10500
1030200158,29-11-22,BSCS01202042,221100624,7500
1100400056,29-11-22,OTT01192011,22100470,8125
1210100005,29-11-22,Fall2100005,221101168,12086
1100400089,29-11-22,OTT01192051,22100502,8125
1040200257,29-11-22,DPT01202025,221100549,8000
1040200275,29-11-22,DPT01202044,221100654,17250
1210100646,29-11-22,Fall2100646,220610004,5000
1050200058,29-11-22,ENG01202001,221100660,5000
1110200075,29-11-22,PSY01202002,230100801,5625
1110200075,29-11-22,PSY01202002,221200801,5625
1110400059,29-11-22,PSYC01192038,221100091,6187
1110400059,29-11-22,PSYC01192038,22100111,6187
1110400034,29-11-22,PSYC01192011,22100086,6350
1110400034,29-11-22,PSYC01192011,221100066,6350
1110400034,29-11-22,PSYC01192011,221200066,6350
1110400034,29-11-22,PSYC01192011,230100066,6350
1110200081,29-11-22,PSY01202008,221100817,6562
1110200081,29-11-22,PSY01202008,221200805,6562
1030400077,29-11-22,BSCS01192005,22100192,7800
1030400101,29-11-22,BSCS01192032,221100196,8137
1030400101,29-11-22,BSCS01192032,22100216,8137
1080400061,29-11-22,MLT01192008,22100423,8906
1130400022,29-11-22,BSSE01192014,221100541,9350
1040400224,29-11-22,DPT01192045,221100246,9500
1080400090,29-11-22,MLT01192043,22100452,9593
1070200071,29-11-22,BSIT01202022,221200716,9750
1070200071,29-11-22,BSIT01202022,221100728,9750
1020200089,29-11-22,BIO01202003,221100582,10000
1020200089,29-11-22,BIO01202003,221200570,10000
1120200147,29-11-22,RIT01202003,221100903,10050
1120200147,29-11-22,RIT01202003,221200891,10050
1030200130,29-11-22,BSCS01202013,221100602,10125
1080200143,29-11-22,MLT01202046,221100776,10312
1080400097,29-11-22,MLT01192051,22100459,10625
1080200125,29-11-22,MLT01202028,221100760,10750
1060400118,29-11-22,HND01192041,22100349,11250
1040400216,29-11-22,DPT01192035,22100260,14531
1040400211,29-11-22,DPT01192030,22100255,15250
1210100038,29-11-22,Fall2100038,221100952,17752
1210100025,29-11-22,Fall2100025,221101076,18335
