Student ID,Date,Student Roll,Challan No,Amount
1020400082,30/05/2022,BSBIO01192028,1010675,7500
1080200119,30/05/2022,MLT01202021,1013567,11188
1090200038,30/05/2022,MATH01202003,1013698,6000
1090200038,30/05/2022,MATH01202003,1013697,6000
1130400016,30/05/2022,BSSE01192007,1034014,9750
1020400067,30/05/2022,BSBIO01192008,1010614,7750
1070200075,30/05/2022,BSIT01202026,1013450,11250
1040200257,30/05/2022,DPT01202025,1012935,16275
1050400020,30/05/2022,BSENG01192003,1011104,6250
1110600017,30/05/2022,BSPsy01182012,1008474,7000
1110600017,30/05/2022,BSPsy01182012,1008473,7000
1100600017,30/05/2022,OTT02182014,1009487,6375
1020400067,30/05/2022,BSBIO01192008,1010615,7750
1100200095,30/05/2022,OTT01202004,1013766,7500
1210100181,30/05/2022,Fall2100181,1034798,18750
1210100124,30/05/2022,Fall2100124,1034333,24833
1210100001,30/05/2022,Fall2100001,1034312,23667
1010400039,30/05/2022,BBA01192017,1010471,7500
1120200183,30/05/2022,RIT01202043,1014166,13313
1010400043,30/05/2022,BBA01192024,1010487,7500
1010400043,30/05/2022,BBA01192024,1010486,7500
1010400039,30/05/2022,BBA01192017,1010470,7500
1210100145,30/05/2022,Fall2100145,1034146,10834
1210100145,30/05/2022,Fall2100145,1034147,10834
1210100008,30/05/2022,Fall2100008,1034435,20000
1070400033,30/05/2022,BSIT01192031,1011523,8813
1070400033,30/05/2022,BSIT01192031,1011522,8813
1210100021,30/05/2022,Fall2100021,1034318,23667
1120400138,30/05/2022,RIT01192044,1012411,8750
1100600008,30/05/2022,OTT02182004,1009449,6000
1040800107,30/05/2022,DPT01172050,1009779,9875
1040800107,30/05/2022,DPT01172050,1009777,9875
1040800107,30/05/2022,DPT01172050,1009778,9875
1130400024,30/05/2022,BSSE01192017,1034045,6950
1080400092,30/05/2022,MLT01192045,1011743,7188
1080400092,30/05/2022,MLT01192045,1011742,7188
1130400024,30/05/2022,BSSE01192017,1034046,6950
1060400109,30/05/2022,HND01192032,1011363,10782
1210100187,30/05/2022,Fall2100187,1034354,21334
1030400075,30/05/2022,BSCS01192003,1010722,7150
1060400113,30/05/2022,HND01192036,1011379,11250
1100600011,30/05/2022,OTT02182007,1009462,7500
1100600014,30/05/2022,OTT02182010,1009474,5625
1070200078,30/05/2022,BSIT01202029,1013462,10125
1070200078,30/05/2022,BSIT01202029,1013461,10125
1070200052,30/05/2022,BSIT01202003,1013358,9000
1070200052,30/05/2022,BSIT01202003,1013357,9000
1070400023,30/05/2022,BSIT01192015,1011484,7800
1100200107,30/05/2022,OTT01202029,1013813,9750
1100200107,30/05/2022,OTT01202029,1013814,9750
1210100132,30/05/2022,Fall2100132,1034339,22500
1210100115,30/05/2022,Fall2100115,1034522,10834
1210100231,30/05/2022,Fall2100231,1034717,11250
1030400075,30/05/2022,BSCS01192003,1010723,7150
1100400052,30/05/2022,OTT01192006,1011875,8438
1210100080,30/05/2022,Fall2100080,1034517,14334
1210100080,30/05/2022,Fall2100080,1034516,14334
1100400052,30/05/2022,OTT01192006,1011876,8438
1100400089,30/05/2022,OTT01192051,1012023,8125
1030400079,30/05/2022,BSCS01192007,1010738,8475
1030400079,30/05/2022,BSCS01192007,1010739,8475
1080400066,30/05/2022,MLT01192014,1011638,8907
1080400066,30/05/2022,MLT01192014,1011639,8907
1020400063,30/05/2022,BSBIO01192004,1010599,7750
1020400063,30/05/2022,BSBIO01192004,1010598,7750
1120400131,30/05/2022,RIT01192037,1012383,9750
1210100241,30/05/2022,Fall2100241,1034492,13334
1210100241,30/05/2022,Fall2100241,1034493,13334
1210100066,30/05/2022,Fall2100066,1034450,18334
1030600040,30/05/2022,BSCS01182011,1008756,7125
1030600040,30/05/2022,BSCS01182011,1008755,7125
1030600040,30/05/2022,BSCS01182011,1008754,7125
1030600040,30/05/2022,BSCS01182011,1008753,7125
1120400142,30/05/2022,RIT01192048,1012426,13750
1210100201,30/05/2022,Fall2100201,1034606,16250
1210100201,30/05/2022,Fall2100201,1034608,16250
1210100201,30/05/2022,Fall2100201,1034607,16250
1030400110,30/05/2022,BSCS01192043,1010863,10500
1110400050,30/05/2022,PSYC01192028,1012147,6188
1040600182,30/05/2022,DPT01182068,1010078,10000
1030600064,30/05/2022,BSCS01182036,1008849,7125
1030600064,30/05/2022,BSCS01182036,1008850,7125
1130400021,30/05/2022,BSSE01192013,1034034,8550
1010600014,30/05/2022,BBA01182004,1008653,5000
1010600014,30/05/2022,BBA01182004,1008654,5000
1060200150,30/05/2022,HND01202025,1013254,11750
1040400225,30/05/2022,DPT01192046,1011067,12375
1040400225,30/05/2022,DPT01192046,1011066,12375
1120200166,30/05/2022,RIT01202025,1014098,12750
1100200094,30/05/2022,OTT01202002,1013761,10125
1210100073,30/05/2022,Fall2100073,1034513,14917
1120200153,30/05/2022,RIT01202010,1014045,12188
1120200153,30/05/2022,RIT01202010,1014046,12188
1210100138,30/05/2022,Fall2100138,1034345,21334
1120200169,30/05/2022,RIT01202029,1014110,13313
1120200169,30/05/2022,RIT01202029,1014109,13313
1060200136,30/05/2022,HND01202010,1013199,11250
1110400031,30/05/2022,PSYC01192008,1012070,6350
1110400031,30/05/2022,PSYC01192008,1012071,6350
1100600043,30/05/2022,OTT02182045,1009594,6187
1050200081,30/05/2022,ENG01202025,1013127,7500
1110400025,30/05/2022,PSYC01192002,1012047,6350
1030200135,30/05/2022,BSCS01202018,1012738,9750
1030200135,30/05/2022,BSCS01202018,1012737,9750
1120600076,30/05/2022,RIT01182042,1010355,9700
1120600076,30/05/2022,RIT01182042,1010356,9700
1030600053,30/05/2022,BSCS01182025,1008806,7125
1030600053,30/05/2022,BSCS01182025,1008805,7125
1120200148,30/05/2022,RIT01202004,1014025,19250
1120200176,30/05/2022,RIT01202036,1014137,13313
1120400141,30/05/2022,RIT01192047,1012423,8250
1030400109,30/05/2022,BSCS01192042,1010858,9150
1030400109,30/05/2022,BSCS01192042,1010859,9150
1130400015,30/05/2022,BSSE01192005,1034010,9750
1130400015,30/05/2022,BSSE01192005,1034009,9750
1070400021,30/05/2022,BSIT01192013,1011474,6788
1040800073,30/05/2022,DPT01172010,1009642,8315
1040800073,30/05/2022,DPT01172010,1009641,8315
1210100107,30/05/2022,Fall2100107,1034328,17834
1210100107,30/05/2022,Fall2100107,1034327,17834
1210100107,30/05/2022,Fall2100107,1034329,17834
1030600069,30/05/2022,BSCS01182044,1008869,7463
1030600069,30/05/2022,BSCS01182044,1008870,7463
1100600025,30/05/2022,OTT02182022,1009518,6375
1080200114,30/05/2022,MLT01202016,1013546,10313
1080200114,30/05/2022,MLT01202016,1013545,10313
1080200109,30/05/2022,MLT01202011,1013525,10313
1080200109,30/05/2022,MLT01202011,1013526,10313
1210100262,30/05/2022,Fall2100262,1034204,12000
1060600073,30/05/2022,HND01182054,1009132,9850
1040400192,30/05/2022,DPT01192007,1010935,10938
1210100103,30/05/2022,Fall2100103,1034690,11667
1040400192,30/05/2022,DPT01192007,1010934,10938
1040400204,30/05/2022,DPT01192021,1010982,15250
1210100268,31/05/2022,Fall2100268,1034384,20167
1070200081,31/05/2022,BSIT01202032,1013474,9000
1070200081,31/05/2022,BSIT01202032,1013473,9000
1030600051,31/05/2022,BSCS01182023,1008798,6517
1040400201,31/05/2022,DPT01192018,1010971,15250
1040400201,31/05/2022,DPT01192018,1010970,15250
1030600054,31/05/2022,BSCS01182026,1008810,7800
1030600054,31/05/2022,BSCS01182026,1008809,7800
1040400196,31/05/2022,DPT01192012,1010950,15250
1040400196,31/05/2022,DPT01192012,1010950,15250
1020200102,31/05/2022,BIO01202017,1012661,8750
1020200102,31/05/2022,BIO01202017,1012664,8750
1020200102,31/05/2022,BIO01202017,1012663,8750
1020200102,31/05/2022,BIO01202017,1012662,8750
1120600054,31/05/2022,RIT01182019,1010265,8850
1120600054,31/05/2022,RIT01182019,1010268,8850
1120600054,31/05/2022,RIT01182019,1010267,8850
1120600054,31/05/2022,RIT01182019,1010266,8850
1050400026,31/05/2022,BSENG01192011,1011126,5500
1050400026,31/05/2022,BSENG01192011,1011127,5500
1110400033,31/05/2022,PSYC01192010,1012078,7275
1110400033,31/05/2022,PSYC01192010,1012079,7275
1210100022,31/05/2022,Fall2100022,1034541,17000
1080600018,31/05/2022,MLT01172021,1034847,100
1050600018,31/05/2022,BSEng001182024,1008958,2500
1010400061,31/05/2022,BBA01192045,1010559,7250
1100600019,31/05/2022,OTT02182016,1009493,6300
1100600019,31/05/2022,OTT02182016,1009494,6300
1110400067,31/05/2022,PSYC01192048,1012217,7000
1110400057,31/05/2022,PSYC01192036,1012177,6350
1110400066,31/05/2022,PSYC01192046,1012211,6188
1110400066,31/05/2022,PSYC01192046,1012210,6188
1110400066,31/05/2022,PSYC01192046,1012213,6188
1110400066,31/05/2022,PSYC01192046,1012212,6188
1100600020,31/05/2022,OTT02182017,1009498,6000
1210100002,31/05/2022,Fall2100002,1034315,23667
1210100097,31/05/2022,Fall2100097,1034180,11500
1120400145,31/05/2022,RIT01192051,1012438,12775
1120400145,31/05/2022,RIT01192051,1012439,12775
1080600052,31/05/2022,MLT01172062,1034827,100
1080600046,31/05/2022,MLT01172054,1034848,100
1120400102,31/05/2022,RIT01192007,1012267,10750
1080600018,31/05/2022,MLT01172021,1009298,10000
1080600018,31/05/2022,MLT01172021,1009297,10000
1100400075,31/05/2022,OTT01192033,1011966,8438
1100400075,31/05/2022,OTT01192033,1011967,8438
1040800103,31/05/2022,DPT01172046,1009761,11525
1060200147,31/05/2022,HND01202022,1013242,11750
1030400077,31/05/2022,BSCS01192005,1010730,7800
1030400077,31/05/2022,BSCS01192005,1010731,7800
1210100068,31/05/2022,Fall2100068,1034512,12584
1210100068,31/05/2022,Fall2100068,1034510,12584
1210100068,31/05/2022,Fall2100068,1034511,12584
1210100003,31/05/2022,Fall2100003,1034729,20584
1210100186,31/05/2022,Fall2100186,1034420,8334
1030400100,31/05/2022,BSCS01192031,1010822,7125
