Registration No.,Attempt,Internal (20%),Mid Term,Final Term Marks(80%),Practical Work (20),Total Obtain Marks,Total mark,Course Code,Semester,Session
2017-GCUF-069492,1st,8,,25,15,48,80,MPH-811     ,1,2017-19
2017-GCUF-069493,1st,8,,19,12,39,80,MPH-811     ,1,2017-19
2017-GCUF-069494,1st,8,,20,14,42,80,MPH-811     ,1,2017-19
2017-GCUF-069495,1st,8,,19,12,39,80,MPH-811     ,1,2017-19
2017-GCUF-069499,1st,8,,19,12,39,80,MPH-811     ,1,2017-19
2007-GCUF-1936-527,1st,8,,19,12,39,80,MPH-811     ,1,2017-19
2017-GCUF-069492,1st,12,,40,0,52,80,MPH-809 ,1,2017-19
2017-GCUF-069493,1st,12,,38,0,50,80,MPH-809 ,1,2017-19
2017-GCUF-069494,1st,12,,40,0,52,80,MPH-809 ,1,2017-19
2017-GCUF-069495,1st,12,,38,0,50,80,MPH-809 ,1,2017-19
2017-GCUF-069499,1st,12,,42,0,54,80,MPH-809 ,1,2017-19
2007-GCUF-1936-527,1st,12,,42,0,54,80,MPH-809 ,1,2017-19
2017-GCUF-069492,1st,12,,30.5,0,42.5,80,MPH-803,1,2017-19
2017-GCUF-069493,1st,12,,35.5,0,47.5,80,MPH-803,1,2017-19
2017-GCUF-069494,1st,12,,35.5,0,47.5,80,MPH-803,1,2017-19
2017-GCUF-069495,1st,12,,25.5,0,37.5,80,MPH-803,1,2017-19
2017-GCUF-069499,1st,12,,31,0,43,80,MPH-803,1,2017-19
2007-GCUF-1936-527,1st,12,,31,0,43,80,MPH-803,1,2017-19
2017-GCUF-069492,1st,12,,36,0,48,80,MPH-801,1,2017-19
2017-GCUF-069493,1st,12,,36,0,48,80,MPH-801,1,2017-19
2017-GCUF-069494,1st,12,,36,0,48,80,MPH-801,1,2017-19
2017-GCUF-069495,1st,12,,37,0,49,80,MPH-801,1,2017-19
2017-GCUF-069499,1st,12,,38,0,50,80,MPH-801,1,2017-19
2007-GCUF-1936-527,1st,12,,38,0,50,80,MPH-801,1,2017-19
2017-GCUF-069492,1st,12,,34,0,46,80,MPH-807,1,2017-19
2017-GCUF-069493,1st,12,,33,0,45,80,MPH-807,1,2017-19
2017-GCUF-069494,1st,12,,34,0,46,80,MPH-807,1,2017-19
2017-GCUF-069495,1st,12,,29,0,41,80,MPH-807,1,2017-19
2017-GCUF-069499,1st,12,,32,0,44,80,MPH-807,1,2017-19
2007-GCUF-1936-527,1st,12,,29,0,41,80,MPH-807,1,2017-19
2017-GCUF-069492,1st,12,,36,0,48,80,MPH-805,1,2017-19
2017-GCUF-069493,1st,12,,33,0,45,80,MPH-805,1,2017-19
2017-GCUF-069494,1st,12,,29,0,41,80,MPH-805,1,2017-19
2017-GCUF-069495,1st,12,,18,0,30,80,MPH-805,1,2017-19
2017-GCUF-069499,1st,12,,25,0,37,80,MPH-805,1,2017-19
2007-GCUF-1936-527,1st,12,,36,0,48,80,MPH-805,1,2017-19
2017-GCUF-069492,1st,7,,15,14,36,80,MPH-812,2,2017-19
2017-GCUF-069493,1st,7,,15.5,15,37.5,80,MPH-812,2,2017-19
2017-GCUF-069494,1st,7,,17.5,16,40.5,80,MPH-812,2,2017-19
2017-GCUF-069495,1st,7.5,,9,14,30.5,80,MPH-812,2,2017-19
2017-GCUF-069499,1st,7.5,,11,14,32.5,80,MPH-812,2,2017-19
2007-GCUF-1936-527,1st,7.5,,12.5,12,32,80,MPH-812,2,2017-19
2017-GCUF-069492,1st,12,,32,0,44,80,MPH-804,2,2017-19
2017-GCUF-069493,1st,11,,32,0,43,80,MPH-804,2,2017-19
2017-GCUF-069494,1st,11,,32,0,43,80,MPH-804,2,2017-19
2017-GCUF-069495,1st,11,,27,0,38,80,MPH-804,2,2017-19
2017-GCUF-069499,1st,12,,26,0,38,80,MPH-804,2,2017-19
2007-GCUF-1936-527,1st,12,,34,0,46,80,MPH-804,2,2017-19
2017-GCUF-069492,1st,11,,34,0,45,80,MPH-802,2,2017-19
2017-GCUF-069493,1st,11,,19,0,30,80,MPH-802,2,2017-19
2017-GCUF-069494,1st,11,,21,0,32,80,MPH-802,2,2017-19
2017-GCUF-069495,1st,11,,19,0,30,80,MPH-802,2,2017-19
2017-GCUF-069499,1st,11,,28,0,39,80,MPH-802,2,2017-19
2007-GCUF-1936-527,1st,11,,24,0,35,80,MPH-802,2,2017-19
2017-GCUF-069492,1st,11.5,,38,0,49.5,80,MPH-810,2,2017-19
2017-GCUF-069493,1st,11,,37,0,48,80,MPH-810,2,2017-19
2017-GCUF-069494,1st,11,,37.5,0,48.5,80,MPH-810,2,2017-19
2017-GCUF-069495,1st,11,,37,0,48,80,MPH-810,2,2017-19
2017-GCUF-069499,1st,11.5,,38.5,0,50,80,MPH-810,2,2017-19
2007-GCUF-1936-527,1st,11.5,,38,0,49.5,80,MPH-810,2,2017-19
2017-GCUF-069492,1st,7.5,,20,13,40.5,80,MPH-808,2,2017-19
2017-GCUF-069493,1st,7.5,,23,15,45.5,80,MPH-808,2,2017-19
2017-GCUF-069494,1st,7.5,,22,14,43.5,80,MPH-808,2,2017-19
2017-GCUF-069495,1st,7.5,,13,14,34.5,80,MPH-808,2,2017-19
2017-GCUF-069499,1st,7.5,,21,14,42.5,80,MPH-808,2,2017-19
2007-GCUF-1936-527,1st,7.5,,21,14,42.5,80,MPH-808,2,2017-19
2017-GCUF-069492,1st,11,,37,0,48,80,MPH-806,2,2017-19
2017-GCUF-069493,1st,11.5,,38,0,49.5,80,MPH-806,2,2017-19
2017-GCUF-069494,1st,11.5,,37,0,48.5,80,MPH-806,2,2017-19
2017-GCUF-069495,1st,11,,38,0,49,80,MPH-806,2,2017-19
2017-GCUF-069499,1st,11,,37.5,0,48.5,80,MPH-806,2,2017-19
2007-GCUF-1936-527,1st,11,,38,0,49,80,MPH-806,2,2017-19
2017-GCUF-069492,1st,11.5,,37,0,48.5,80,MPH-813,3,2017-19
2017-GCUF-069493,1st,11.5,,37.5,0,49,80,MPH-813,3,2017-19
2017-GCUF-069494,1st,11.5,,36.5,0,48,80,MPH-813,3,2017-19
2017-GCUF-069495,1st,11.5,,32,0,43.5,80,MPH-813,3,2017-19
2017-GCUF-069499,1st,11.5,,31,0,42.5,80,MPH-813,3,2017-19
2007-GCUF-1936-527,1st,11.5,,36.5,0,48,80,MPH-813,3,2017-19
2017-GCUF-069492,1st,11.5,,37.5,0,49,80,MPH-823,3,2017-19
2017-GCUF-069493,1st,11.5,,37,0,48.5,80,MPH-823,3,2017-19
2017-GCUF-069494,1st,11.5,,36.5,0,48,80,MPH-823,3,2017-19
2017-GCUF-069495,1st,11.5,,30.5,0,42,80,MPH-823,3,2017-19
2017-GCUF-069499,1st,11.5,,30.5,0,42,80,MPH-823,3,2017-19
2007-GCUF-1936-527,1st,11.5,,32.5,0,44,80,MPH-823,3,2017-19
2017-GCUF-069492,1st,11.5,,32.5,0,44,80,MPH-819,3,2017-19
2017-GCUF-069493,1st,11.5,,32,0,43.5,80,MPH-819,3,2017-19
2017-GCUF-069494,1st,11.5,,31.5,0,43,80,MPH-819,3,2017-19
2017-GCUF-069495,1st,11.5,,36.5,0,48,80,MPH-819,3,2017-19
2017-GCUF-069499,1st,11.5,,36.5,0,48,80,MPH-819,3,2017-19
2007-GCUF-1936-527,1st,11.5,,37.5,0,49,80,MPH-819,3,2017-19
2017-GCUF-069492,1st,11.5,,37.5,0,49,80,MPH-817,3,2017-19
2017-GCUF-069493,1st,11.5,,38,0,49.5,80,MPH-817,3,2017-19
2017-GCUF-069494,1st,11.5,,37,0,48.5,80,MPH-817,3,2017-19
2017-GCUF-069495,1st,11.5,,36.5,0,48,80,MPH-817,3,2017-19
2017-GCUF-069499,1st,11.5,,36.5,0,48,80,MPH-817,3,2017-19
2007-GCUF-1936-527,1st,11.5,,37,0,48.5,80,MPH-817,3,2017-19
2017-GCUF-069492,1st,7.5,,25,16,48.5,80,MPH-815,3,2017-19
2017-GCUF-069493,1st,7.5,,24.5,16,48,80,MPH-815,3,2017-19
2017-GCUF-069494,1st,7.5,,25,16,48.5,80,MPH-815,3,2017-19
2017-GCUF-069495,1st,7.5,,22,16,45.5,80,MPH-815,3,2017-19
2017-GCUF-069499,1st,7.5,,25,16,48.5,80,MPH-815,3,2017-19
2007-GCUF-1936-527,1st,7.5,,25,16,48.5,80,MPH-815,3,2017-19
2017-GCUF-069492,1st,11.5,,33,0,44.5,80,MPH-814,4,2017-19
2017-GCUF-069493,1st,11.5,,34,0,45.5,80,MPH-814,4,2017-19
2017-GCUF-069494,1st,11.5,,33,0,44.5,80,MPH-814,4,2017-19
2017-GCUF-069495,1st,11.5,,32,0,43.5,80,MPH-814,4,2017-19
2017-GCUF-069499,1st,11.5,,31,0,42.5,80,MPH-814,4,2017-19
2007-GCUF-1936-527,1st,11.5,,32,0,43.5,80,MPH-814,4,2017-19
2017-GCUF-069492,1st,0,,0,104,104,80,MPH-816,4,2017-19
2017-GCUF-069493,1st,0,,0,99,99,80,MPH-816,4,2017-19
2017-GCUF-069494,1st,0,,0,98,98,80,MPH-816,4,2017-19
2017-GCUF-069495,1st,0,,0,89,89,80,MPH-816,4,2017-19
2017-GCUF-069499,1st,0,,0,96,96,80,MPH-816,4,2017-19
2007-GCUF-1936-527,1st,0,,0,105,105,80,MPH-816,4,2017-19
2018-GCUF-076484,1st,11.5,,33,0,44.5,80,MPH-809,1,2018-22
2018-GCUF-077502,1st,11.5,,38,0,49.5,80,MPH-809,1,2018-22
2018-GCUF-077503,1st,11.5,,32,0,43.5,80,MPH-809,1,2018-22
2018-GCUF-077504,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077505,1st,11.5,,33,0,44.5,80,MPH-809,1,2018-22
2018-GCUF-077506,1st,11.5,,32,0,43.5,80,MPH-809,1,2018-22
2018-GCUF-077507,1st,11.5,,32,0,43.5,80,MPH-809,1,2018-22
2018-GCUF-077508,1st,11.5,,32.5,0,44,80,MPH-809,1,2018-22
2018-GCUF-077509,1st,11.5,,33,0,44.5,80,MPH-809,1,2018-22
2018-GCUF-077510,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077511,1st,11.5,,32.5,0,44,80,MPH-809,1,2018-22
2018-GCUF-077512,1st,11.5,,31.5,0,43,80,MPH-809,1,2018-22
2018-GCUF-077513,1st,11.5,,32,0,43.5,80,MPH-809,1,2018-22
2018-GCUF-077514,1st,11.5,,31.5,0,43,80,MPH-809,1,2018-22
2018-GCUF-077515,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077516,1st,0,,0,0,0,80,MPH-809,1,2018-22
2018-GCUF-077517,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077518,1st,11.5,,32.5,0,44,80,MPH-809,1,2018-22
2018-GCUF-077519,1st,11.5,,37.5,0,49,80,MPH-809,1,2018-22
2018-GCUF-077520,1st,11.5,,38,0,49.5,80,MPH-809,1,2018-22
2018-GCUF-077521,1st,11.5,,38,0,49.5,80,MPH-809,1,2018-22
2018-GCUF-077522,1st,11.5,,32.5,0,44,80,MPH-809,1,2018-22
2018-GCUF-077523,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077524,1st,11.5,,32.5,0,44,80,MPH-809,1,2018-22
2018-GCUF-077525,1st,11.5,,37.5,0,49,80,MPH-809,1,2018-22
2018-GCUF-077526,1st,11.5,,37,0,48.5,80,MPH-809,1,2018-22
2018-GCUF-077527,1st,0,,0,0,0,80,MPH-809,1,2018-22
2018-GCUF-077528,1st,11.5,,32.5,0,44,80,MPH-809,1,2018-22
2018-GCUF-077650,1st,0,,0,0,0,80,MPH-809,1,2018-22
2018-GCUF-077651,1st,11.5,,32.5,0,44,80,MPH-809,1,2018-22
2018-GCUF-077652,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077653,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077654,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077655,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077656,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-077657,1st,11.5,,31.5,0,43,80,MPH-809,1,2018-22
2018-GCUF-077658,1st,11.5,,31,0,42.5,80,MPH-809,1,2018-22
2018-GCUF-077659,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-078106,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-078107,1st,11.5,,36.5,0,48,80,MPH-809,1,2018-22
2018-GCUF-076484,1st,11.5,,37,0,48.5,80,MPH-801,1,2018-22
2018-GCUF-077502,1st,11.5,,34.5,0,46,80,MPH-801,1,2018-22
2018-GCUF-077503,1st,11.5,,33,0,44.5,80,MPH-801,1,2018-22
