Registration No.,Attempt,Internal (20%),Mid Term,Final Term Marks(80%),Practical Work (20),Total Obtain Marks,Total mark,Course Code,Semester,Session
2015-GCUF-055536,,10,,0,0,10,80,DPT-602,8,2016-21
2015-GCUF-055233,,10,,0,0,10,80,DPT-602,8,2016-21
2015-GCUF-055536,,11,,0,0,11,80,DPT-604,8,2016-21
2015-GCUF-055233,,9,,0,0,9,80,DPT-604,8,2016-21
2015-GCUF-055536,,7,,0,0,7,80,DPT-606,8,2016-21
2015-GCUF-055233,,7,,0,0,7,80,DPT-606,8,2016-21
2015-GCUF-055536,,7,,0,0,7,80,DPT-608,8,2016-21
2015-GCUF-055233,,7,,0,0,7,80,DPT-608,8,2016-21
2015-GCUF-055536,,7,,0,0,7,80,DPT-610,8,2016-21
2015-GCUF-055233,,7,,0,0,7,80,DPT-610,8,2016-21
2017-GCUF-067884,,11,,0,0,11,80,DPT-409,3,2017-22
2017-GCUF-067901,,11,,0,0,11,80,DPT-409,3,2017-22
2017-GCUF-066906,,8,,0,0,8,80,DPT-402,4,2017-22
2017-GCUF-064336,,7,,0,0,7,80,DPT-502,6,2017-22
2017-GCUF-064336,,7.5,,0,0,7.5,80,DPT-504,6,2017-22
2017-GCUF-064336,,8,,0,0,8,80,DPT-506,6,2017-22
2017-GCUF-064336,,8,,0,0,8,80,DPT-508,6,2017-22
2017-GCUF-064336,,8,,0,0,8,80,DPT-510,6,2017-22
2017-GCUF-064336,,7,,0,0,7,80,DPT-605,7,2017-22
2018-GCUF-074019,,7,,0,0,7,80,DPT-402,4,2018-23
2018-GCUF-074019,,7,,0,0,7,80,DPT-404,4,2018-23
2018-GCUF-074019,,11,,0,0,11,80,DPT-406,4,2018-23
2018-GCUF-074019,,12,,0,0,12,80,DPT-410,4,2018-23
2018-GCUF-074019,,7,,0,0,7,80,DPT-412,4,2018-23
2018-GCUF-074019,,6,,0,0,6,80,DPT-501,5,2018-23
2018-GCUF-074019,,11,,0,0,11,80,DPT-503,5,2018-23
2018-GCUF-074019,,7,,0,0,7,80,DPT-505,5,2018-23
2018-GCUF-074019,,6,,0,0,6,80,DPT-507,5,2018-23
2018-GCUF-060206,,10,,0,0,10,80,ENG-422,5,2018-23
2018-GCUF-074019,,9,,0,0,9,80,ENG-422,5,2018-23
2018-GCUF-074021,,10,,0,0,10,80,ENG-422,5,2018-23
2018-GCUF-074019,,7,,0,0,7,80,SOC-307,5,2018-23
2019-GCUF-058140,,8,,0,0,8,80,CSI-321,2,2019-24
2019-GCUF-058156,,7,,0,0,7,80,CSI-321,2,2019-24
2019-GCUF-058187,,7,,0,0,7,80,CSI-321,2,2019-24
2019-GCUF-058140,,11,,0,0,11,80,DPT-302,2,2019-24
2019-GCUF-058156,,12,,0,0,12,80,DPT-302,2,2019-24
2019-GCUF-058187,,12,,0,0,12,80,DPT-302,2,2019-24
2019-GCUF-058140,,8,,0,0,8,80,DPT-304,2,2019-24
2019-GCUF-058156,,7,,0,0,7,80,DPT-304,2,2019-24
2019-GCUF-058187,,8,,0,0,8,80,DPT-304,2,2019-24
2019-GCUF-058140,,8,,0,0,8,80,DPT-306,2,2019-24
2019-GCUF-058156,,7,,0,0,7,80,DPT-306,2,2019-24
2019-GCUF-058187,,7,,0,0,7,80,DPT-306,2,2019-24
2019-GCUF-058140,,11,,0,0,11,80,ENG-322,2,2019-24
2019-GCUF-058156,,9,,0,0,9,80,ENG-322,2,2019-24
2019-GCUF-058187,,11,,0,0,11,80,ENG-322,2,2019-24
2019-GCUF-058140,,7.5,,0,0,7.5,80,ISL-321,2,2019-24
2019-GCUF-058156,,7,,0,0,7,80,ISL-321,2,2019-24
2019-GCUF-058187,,7,,0,0,7,80,ISL-321,2,2019-24
2019-GCUF-058185,,0,,0,0,0,80,BCH-408,4,2019-24
