Registration No.,Attempt,Internal (20%),Mid Term,Final Term Marks(80%),Practical Work (20),Total Obtain Marks,Total mark,Course Code,Semester,Session
2016-GCUF-066434,1st,12,,28.8,11,51.8,80,DPT-301,1,2016-21
2016-GCUF-068996,1st,10,,32.4,12,54.4,80,DPT-301,1,2016-21
2016-GCUF-066417,1st,12,,33.9,15,60.9,80,DPT-301,1,2016-21
2016-GCUF-068979,1st,10,,32.4,12,54.4,80,DPT-301,1,2016-21
2016-GCUF-068963,1st,12,,36,12,60,80,DPT-301,1,2016-21
2016-GCUF-066437,1st,12,,32.4,14,58.4,80,DPT-301,1,2016-21
2015-GCUF-055536,1st,12,,40.2,12,64.2,80,DPT-301,1,2016-21
2016-GCUF-066438,1st,12,,28.8,15,55.8,80,DPT-301,1,2016-21
2016-GCUF-068980,1st,10,,28.2,12,50.2,80,DPT-301,1,2016-21
2016-GCUF-068981,1st,0,,0,0,0,80,DPT-301,1,2016-21
2016-GCUF-066439,1st,12,,26.7,13,51.7,80,DPT-301,1,2016-21
2015-GCUF-055233,1st,11,,37.2,12,60.2,80,DPT-301,1,2016-21
2016-GCUF-066440,1st,12,,38.1,16,66.1,80,DPT-301,1,2016-21
2016-GCUF-068982,1st,0,,0,0,0,80,DPT-301,1,2016-21
2016-GCUF-068983,1st,11,,38,16,65,80,DPT-301,1,2016-21
2016-GCUF-066433,1st,12,,35.1,15,62.1,80,DPT-301,1,2016-21
2016-GCUF-066432,1st,12,,34,16,62,80,DPT-301,1,2016-21
2016-GCUF-068984,1st,0,,0,0,0,80,DPT-301,1,2016-21
2016-GCUF-068985,1st,10,,33.6,12,55.6,80,DPT-301,1,2016-21
2016-GCUF-066416,1st,12,,34.2,16,62.2,80,DPT-301,1,2016-21
2016-GCUF-068986,1st,10,,27,12,49,80,DPT-301,1,2016-21
2016-GCUF-068987,1st,10,,36,12,58,80,DPT-301,1,2016-21
2016-GCUF-066430,1st,12,,34.8,10,56.8,80,DPT-301,1,2016-21
2016-GCUF-068988,1st,10,,30.6,12,52.6,80,DPT-301,1,2016-21
2016-GCUF-068989,1st,10,,31.2,12,53.2,80,DPT-301,1,2016-21
2016-GCUF-068990,1st,10,,31.8,12,53.8,80,DPT-301,1,2016-21
2016-GCUF-066427,1st,12,,28.8,8,48.8,80,DPT-301,1,2016-21
2016-GCUF-066426,1st,12,,30.3,15,57.3,80,DPT-301,1,2016-21
2016-GCUF-068991,1st,10,,26.4,12,48.4,80,DPT-301,1,2016-21
2016-GCUF-066425,1st,12,,33.9,13,58.9,80,DPT-301,1,2016-21
2016-GCUF-068992,1st,10,,33,12,55,80,DPT-301,1,2016-21
2016-GCUF-068993,1st,11,,33.6,12,56.6,80,DPT-301,1,2016-21
2016-GCUF-066423,1st,12,,27.6,14,53.6,80,DPT-301,1,2016-21
2016-GCUF-068994,1st,10,,27,12,49,80,DPT-301,1,2016-21
2016-GCUF-068995,1st,10,,0,0,10,80,DPT-301,1,2016-21
2016-GCUF-068997,1st,10,,30.6,12,52.6,80,DPT-301,1,2016-21
2016-GCUF-066421,1st,12,,31.8,14,57.8,80,DPT-301,1,2016-21
2016-GCUF-068998,1st,10,,28.5,13,51.5,80,DPT-301,1,2016-21
2016-GCUF-066419,1st,12,,28.2,14,54.2,80,DPT-301,1,2016-21
2016-GCUF-069000,1st,10,,34.8,13,57.8,80,DPT-301,1,2016-21
2016-GCUF-066418,1st,12,,34,16,62,80,DPT-301,1,2016-21
2016-GCUF-069001,1st,10,,31.8,12,53.8,80,DPT-301,1,2016-21
2016-GCUF-066435,1st,12,,27.3,12,51.3,80,DPT-301,1,2016-21
2016-GCUF-069003,1st,10,,31.8,12,53.8,80,DPT-301,1,2016-21
2016-GCUF-069004,1st,10,,31.2,13,54.2,80,DPT-301,1,2016-21
2016-GCUF-069005,1st,10,,25.2,12,47.2,80,DPT-301,1,2016-21
2016-GCUF-068953,1st,10,,28.8,12,50.8,80,DPT-301,1,2016-21
2016-GCUF-068954,1st,11,,30.6,12,53.6,80,DPT-301,1,2016-21
2016-GCUF-068955,1st,10,,29.4,12,51.4,80,DPT-301,1,2016-21
2016-GCUF-068956,1st,10,,27.6,12,49.6,80,DPT-301,1,2016-21
2016-GCUF-068957,1st,11,,32.4,13,56.4,80,DPT-301,1,2016-21
2016-GCUF-068958,1st,10,,33.6,17,60.6,80,DPT-301,1,2016-21
2016-GCUF-068959,1st,10,,25.8,12,47.8,80,DPT-301,1,2016-21
2016-GCUF-068960,1st,10,,35.4,12,57.4,80,DPT-301,1,2016-21
2016-GCUF-068961,1st,10,,20.4,12,42.4,80,DPT-301,1,2016-21
2016-GCUF-068962,1st,10,,28.8,13,51.8,80,DPT-301,1,2016-21
2016-GCUF-068964,1st,10,,25.2,12,47.2,80,DPT-301,1,2016-21
2016-GCUF-068965,1st,11,,25.2,12,48.2,80,DPT-301,1,2016-21
2016-GCUF-068966,1st,11,,29.4,13,53.4,80,DPT-301,1,2016-21
2016-GCUF-068967,1st,10,,33,13,56,80,DPT-301,1,2016-21
2016-GCUF-068968,1st,11,,29.4,12,52.4,80,DPT-301,1,2016-21
2016-GCUF-068969,1st,12,,29.4,12,53.4,80,DPT-301,1,2016-21
2016-GCUF-068970,1st,10,,29.4,12,51.4,80,DPT-301,1,2016-21
2016-GCUF-068971,1st,12,,34.2,12,58.2,80,DPT-301,1,2016-21
2016-GCUF-068972,1st,11,,31.2,12,54.2,80,DPT-301,1,2016-21
2016-GCUF-068973,1st,10,,30.6,13,53.6,80,DPT-301,1,2016-21
2016-GCUF-068974,1st,10,,31.2,12,53.2,80,DPT-301,1,2016-21
2016-GCUF-068975,1st,10,,30,12,52,80,DPT-301,1,2016-21
2016-GCUF-068976,1st,10,,27,13,50,80,DPT-301,1,2016-21
2016-GCUF-068977,1st,10,,25.8,12,47.8,80,DPT-301,1,2016-21
2016-GCUF-068978,1st,11,,34.8,13,58.8,80,DPT-301,1,2016-21
2016-GCUF-069002,1st,10,,33.6,13,56.6,80,DPT-301,1,2016-21
2016-GCUF-068996,1st,8,,17.2,17,42.2,80,DPT-303,1,2016-21
2016-GCUF-068979,1st,8,,12.8,15,35.8,80,DPT-303,1,2016-21
2016-GCUF-068963,1st,8,,19.6,16,43.6,80,DPT-303,1,2016-21
2015-GCUF-055536,1st,8,,20,17,45,80,DPT-303,1,2016-21
2016-GCUF-068980,1st,8,,16,16,40,80,DPT-303,1,2016-21
2016-GCUF-068981,1st,0,,0,0,0,80,DPT-303,1,2016-21
2015-GCUF-055233,1st,8,,17.6,16,41.6,80,DPT-303,1,2016-21
2016-GCUF-068982,1st,0,,0,0,0,80,DPT-303,1,2016-21
2016-GCUF-068983,1st,8,,24,17,49,80,DPT-303,1,2016-21
2016-GCUF-068984,1st,0,,0,0,0,80,DPT-303,1,2016-21
2016-GCUF-068985,1st,8,,15.2,15,38.2,80,DPT-303,1,2016-21
2016-GCUF-068987,1st,8,,17.2,15,40.2,80,DPT-303,1,2016-21
2016-GCUF-068988,1st,8,,19.2,15,42.2,80,DPT-303,1,2016-21
2016-GCUF-068989,1st,7,,20,15,42,80,DPT-303,1,2016-21
2016-GCUF-068990,1st,8,,16.8,17,41.8,80,DPT-303,1,2016-21
2016-GCUF-068991,1st,8,,14,16,38,80,DPT-303,1,2016-21
2016-GCUF-068992,1st,8,,16,15,39,80,DPT-303,1,2016-21
2016-GCUF-068993,1st,8,,20,15,43,80,DPT-303,1,2016-21
2016-GCUF-068994,1st,8,,14,17,39,80,DPT-303,1,2016-21
2016-GCUF-068995,1st,7,,0,0,7,80,DPT-303,1,2016-21
2016-GCUF-068997,1st,7,,18.4,15,40.4,80,DPT-303,1,2016-21
2016-GCUF-068998,1st,7,,17.6,15,39.6,80,DPT-303,1,2016-21
2016-GCUF-069000,1st,8,,17.6,17,42.6,80,DPT-303,1,2016-21
2016-GCUF-069001,1st,7,,14.4,16,37.4,80,DPT-303,1,2016-21
2016-GCUF-069003,1st,8,,16.4,15,39.4,80,DPT-303,1,2016-21
2016-GCUF-069004,1st,7,,11.2,16,34.2,80,DPT-303,1,2016-21
2016-GCUF-069005,1st,7,,12,15,34,80,DPT-303,1,2016-21
2016-GCUF-068953,1st,8,,18.4,16,42.4,80,DPT-303,1,2016-21
2016-GCUF-068954,1st,8,,14.8,15,37.8,80,DPT-303,1,2016-21
2016-GCUF-068955,1st,8,,16.8,16,40.8,80,DPT-303,1,2016-21
2016-GCUF-068956,1st,7,,18.4,15,40.4,80,DPT-303,1,2016-21
2016-GCUF-068957,1st,8,,20.4,15,43.4,80,DPT-303,1,2016-21
2016-GCUF-068958,1st,8,,16.8,15,39.8,80,DPT-303,1,2016-21
